Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;15;i took ur mom;ay t_uh_k er m_aa_m
g;12;i got hops like bugs bunnny;ay g_aa_t hh_aa_p_s l_ay_k b_ah_g_z b_ah_n_m_y
f;18;your the WOAT;y_uh_r dh_iy 
b;2;like the north pole;l_ay_k dh_iy n_ao_r_th p_ow_l
b;3;when it snows;hh_w_ih_n ah_t s_n_ow_z
b;1;im cold;ih_m k_ow_l_d
b;4;your my foe;y_uh_r m_ay f_ow
e;14;i got all these wetbacks saying what the hell;ay g_aa_t ao_l dh_iy_z w_eh_t_b_ae_k_s s_ey_ih_ng hh_w_ah_t dh_iy hh_eh_l
c;6;in rhymes;ih_n_ch r_ay_m_z
e;13;im funny like dave chappelle;ih_m f_ah_n_iy l_ay_k d_ey_v sh_ah_p_eh_l
a;19;i fucking hate you bitch;ay f_ah_k_ih_ng hh_ey_t y_uw b_ih_ch
b;16;and shoved her urethra down my throat;ah_n_d sh_ah_v_d hh_er y_er_iy_th_r_ah d_aw_n m_ay th_r_ow_t
a;0;listen bitch;l_ih_s_ah_n b_ih_ch
a;10;im skinny;ih_m s_k_ih_n_iy
f;11;like jordan;l_ay_k jh_ao_r_d_ah_n
d;9;for you right to party;f_r_er y_uw r_ay_t t_ah p_aa_r_t_iy
b;17;then gave her an abortion with the hanger for my coat;dh_eh_n g_ey_v hh_er ah_n ah_b_ao_r_sh_ah_n w_ah_dh dh_iy hh_ae_ng_er f_r_er m_ay k_ow_t
c;5;when we fight;hh_w_ih_n w_iy f_ay_t
a;7;i criticize;ay k_r_ih_t_ah_s_ay_z
c;8;your fight to right;y_uh_r f_ay_t t_ah r_ay_t
