Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
h;56;look at me im just a kid;l_uh_k ae_t m_iy ay_m jh_ah_s_t ah k_ih_d
a;20;uh Uh Right;ah ah r_ay_t
c;24;and go dunk that thang myself;ah_n_d g_ow d_ah_ng_k dh_ae_t dh_ae_n_b m_ay_s_eh_l_f
h;76;complaining bout lyricism;k_ah_m_p_l_ey_n_ih_ng b_aw_t l_ih_r_ah_s_ih_z_ah_m
d;68;i told put they hands up with my first album;ay t_ow_l_d p_uh_t dh_ey hh_ae_n_d_z ah_p w_ih_dh m_ay f_er_s_t ae_l_b_ah_m
e;5;i did this here all on my own;ay d_ah_d dh_ah_s hh_ih_r ao_l aa_n m_ay ow_n
d;39;look at all the stuff you missing yeah;l_uh_k ae_t ao_l dh_ah s_t_ah_f y_uw m_ih_s_ih_ng y_ae
h;41;im rolling Im rolling and whippin;ay_m r_ow_l_ih_ng ay_m r_ow_l_ih_ng ah_n_d w_ih_p_iy_n
b;82;until Waka flocka;ah_n_t_ih_l W_ae_k_ax f_l_aa_k_ae
l;25;i ain-t even signed no contract;ay ey_n_t iy_v_ah_n s_ay_n_d n_ow k_oh_n_t_r_ae_k_t
l;88;no wonder why Im killing you;n_ow w_ah_n_d_er w_ay ay_m k_ih_l_ih_ng y_uw
b;80;im seventeen rapping better than your whole roster;ay_m s_eh_v_ah_n_t_iy_n r_ae_p_ih_ng b_eh_t_er dh_ae_n y_ao_r hh_ow_l r_aa_s_t_er
c;62;by Myself;b_ay m_ay_s_eh_l_f
c;9;and I ain-t never ask for help;ah_n_d ay ey_n_t n_eh_v_er ae_s_k f_ao_r hh_eh_l_p
e;50;cause she know;k_aa_z sh_iy n_ow
o;70;flow so sick like what;f_l_ow s_ow s_ih_k l_ay_k w_ah_t
h;42;im swerving and dipping;ay_m s_w_er_v_ih_ng ah_n_d d_ih_p_ih_ng
b;83;and they saying down south we ain-t helping rap nada;ah_n_d dh_ey s_ey_ih_ng d_aw_n s_aw_th w_iy ey_n_t hh_eh_l_p_ih_ng r_ae_p n_aa_d_ah
h;36;i can-t stop all this ambition;ay k_ae_n_t s_t_aa_p ao_l dh_ih_s ae_m_b_ih_sh_ah_n
c;79;and didn-t cop them;ah_n_d d_ih_d_n_t k_aa_p dh_eh_m
n;54;while you living get it;w_ay_l y_uw l_ih_v_ih_ng g_eh_t ih_t
e;29;ain-t have to teach me nothing;ey_n_t hh_ae_v t_uw t_iy_ch m_iy n_ah_th_ih_ng
h;45;yeah play yo position;y_ae p_l_ey y_ow p_ah_z_ih_sh_ah_n
b;34;even though I was adopted;iy_v_ah_n dh_ow ay w_ah_z ah_d_aa_p_t_ah_d
p;72;my words like bullets;m_ay w_er_d_z l_ay_k b_uh_l_ah_t_s
h;37;man Im on a mission;m_ae_n ay_m aa_n ah m_ih_sh_ah_n
g;58;even when I wasn-t able;iy_v_ah_n w_eh_n ay w_oh_z_n_t ey_b_ah_l
h;40;rolling and whippin;r_ow_l_ih_ng ah_n_d w_ih_p_iy_n
a;0;uh Uh Right;ah ah r_ay_t
m;46;tryna get back with shawty but baby girl;t_r_ih_n_ah g_eh_t b_ae_k w_ih_dh t_iy b_ah_t b_ey_b_iy g_er_l
a;16;uh Uh Right;ah ah r_ay_t
f;17;i swore to God Id keep it real;ay s_w_ao_r t_uw g_aa_d ay_d k_iy_p ih_t r_iy_l
h;47;she keep on trippin;sh_iy k_iy_p aa_n t_r_ih_p_iy_n
h;44;so homie gon play yo position;s_ow hh_ao_m_iy_ax g_aa_n p_l_ey y_ow p_ah_z_ih_sh_ah_n
b;75;goblin;g_aa_b_l_ih_n
d;33;killing savage;k_ih_l_ih_ng s_ae_v_ih_jh
h;48;yeah she just keep trippin;y_ae sh_iy jh_ah_s_t k_iy_p t_r_ih_p_iy_n
f;18;im just saying how I feel;ay_m jh_ah_s_t s_ey_ih_ng hh_aw ay f_iy_l
b;66;but see that wasn-t the problem;b_ah_t s_iy dh_ae_t w_oh_z_n_t dh_ah p_r_aa_b_l_ah_m
q;81;never heard a trap song;n_eh_v_er hh_er_d ah t_r_ae_p s_ao_ng
c;67;i took a look at my competition and then I got em;ay t_uh_k ah l_uh_k ae_t m_ay k_aa_m_p_ah_t_ih_sh_ah_n ah_n_d dh_eh_n ay g_aa_t eh_m
c;10;i just did it all myself;ay jh_ah_s_t d_ih_d ih_t ao_l m_ay_s_eh_l_f
c;28;i ain-t need nobody else;ay ey_n_t n_iy_d n_ow_b_aa_d_iy eh_l_s
d;23;daylan told me hit that backboard;s_ey_l_ah_n t_ow_l_d m_iy hh_ih_t dh_ae_t b_ae_k_b_ao_d
g;59;mind was on me being stable;m_ay_n_d w_ah_z aa_n m_iy b_iy_ih_ng s_t_ey_b_ah_l
c;30;went and did it all myself;w_eh_n_t ah_n_d d_ih_d ih_t ao_l m_ay_s_eh_l_f
c;11;by Myself;b_ay m_ay_s_eh_l_f
i;74;going Yonkers in my odd future;g_ow_ih_ng y_aa_ng_k_er_z ih_n m_ay aa_d f_y_uw_ch_er
d;12;yeah;y_ae
g;32;almost famous;ao_l_m_ow_s_t f_ey_m_ah_s
e;31;im a money motivated;ay_m ah m_ah_n_iy m_ow_t_ah_v_ey_t_ah_d
c;15;by myself;b_ay m_ay_s_eh_l_f
d;8;uh Yeah;ah y_ae
h;57;now im bout to get it big;n_aw ay_m b_aw_t t_uw g_eh_t ih_t b_ih_g
h;38;been doing this for years;b_ih_n d_uw_ih_ng dh_ih_s f_ao_r y_ih_r_z
g;60;put that money on the (table);p_uh_t dh_ae_t m_ah_n_iy aa_n dh_ah t_ey_b_ah_l
b;71;problem;p_r_aa_b_l_ah_m
d;4;uh Yeah;ah y_ae
d;35;ma say I act just like daddy;m_aa s_ey ay ae_k_t jh_ah_s_t l_ay_k d_ae_d_iy
n;52;yeah she know Im with it;y_ae sh_iy n_ow ay_m w_ih_dh ih_t
b;27;it was just me amp my homies;ih_t w_ah_z jh_ah_s_t m_iy ae_m_p m_ay hh_aa_m_ah_er_s
b;1;la La La la;l_aa l_aa l_aa l_aa
b;64;yeah I started from the bottom;y_ae ay s_t_aa_r_t_ah_d f_r_ah_m dh_ah b_aa_t_ah_m
