Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;3;its the smooth (G-funk) sound bumping in ya ear So fill up ya glass its time;ih_t_s dh_ah s_m_uw_dh f_ah_ng_k s_aw_n_d b_ah_m_p_ih_ng ih_n y_aa ih_r s_ow f_ih_l ah_p y_aa g_l_ae_s ih_t_s t_ay_m
e;25;raise your glass with the blue lips take a sip and don-t forget feeling good;r_ey_z y_ao_r g_l_ae_s w_ih_dh dh_ah b_l_uw l_ih_p_s t_ey_k ah s_ih_p ah_n_d d_ow_n_t f_ax_g_eh_t f_iy_l_ih_ng g_uh_d
h;5;pure Freedom (is) at it again Ya got ta stay on ya grind In order to win its a;p_y_uh_r f_r_iy_d_ah_m ih_z ae_t ih_t ah_g_eh_n y_aa g_aa_t t_aa s_t_ey aa_n y_aa g_r_ay_n_d ih_n ao_r_d_er t_uw w_ih_n ih_t_s ah
h;37;(is) how I want you to be let s take a ride on the eastside ya wonder why my;ih_z hh_aw ay w_aa_n_t y_uw t_uw b_iy l_eh_t eh_s t_ey_k ah r_ay_d aa_n dh_ah iy_s_t_s_ay_d y_aa w_ah_n_d_er w_ay m_ay
m;14;(is) How I want you to be let s take a ride on the eastside ya wonder why my;ih_z hh_aw ay w_aa_n_t y_uw t_uw b_iy l_eh_t eh_s t_ey_k ah r_ay_d aa_n dh_ah iy_s_t_s_ay_d y_aa w_ah_n_d_er w_ay m_ay
l;10;shelf the twearking the jerking the sip syruping ain-t gon na be around;sh_eh_l_f dh_ah t_w_eh_ae_r_k_ax_ng dh_ah jh_er_k_ih_ng dh_ah s_ih_p s_er_ah_p_ih_ng ey_n_t g_aa_n n_aa b_iy er_aw_n_d
f;15;head (is) high I enjoy living My life pure free;hh_eh_d ih_z hh_ay ay ih_n_jh_oy l_ih_v_ih_ng m_ay l_ay_f p_y_uh_r f_r_iy
p;21;and Rude happiness (is) in the air everywhere I go It-S such a blessing to make;ah_n_d r_uw_d hh_ae_p_iy_n_ah_s ih_z ih_n dh_ah eh_r eh_v_r_iy_w_eh_r ay g_ow ih_t_s s_ah_ch ah b_l_eh_s_ih_ng t_uw m_ey_k
h;22;it international I survived a neighborhood with bloods and crips Now Im the;ih_t ih_n_t_ax_n_ae_sh_ax_n_l ay s_er_v_ay_v_d ah n_ey_b_er_hh_uh_d w_ih_dh b_l_ah_d_z ah_n_d k_r_ih_p_s n_aw ay_m dh_ah
o;19;wan na test me Im human too If Im pushed to my limits Im done and Im;w_aa_n n_aa t_eh_s_t m_iy ay_m hh_y_uw_m_ax_n t_uw ah_f ay_m p_uh_sh_t t_uw m_ay l_ih_m_ah_t_s ay_m d_ah_n ah_n_d ay_m
