Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
g;45;raw to the floor raw like Reservoir (Dogs-);r_aa t_uw dh_ah f_l_ao_r r_aa l_ay_k r_eh_z_ah_v_w_aa_r eh
d;38;torsion Field twist steel blow the air back off wheel;t_ao_r_s_iy_ax_n f_iy_l_d t_w_ih_s_t s_t_iy_l b_l_ow dh_ah eh_r b_ae_k ao_f w_iy_l
e;56;me and Canibus can go for days;m_iy ah_n_d C_ah_n_iy_b_ax_s k_ah_n g_ow f_ao_r d_ey_z
a;71;of the sickest sickest sickest son of Sam;ah_v dh_ah s_ih_k_ah_s_t s_ih_k_ah_s_t s_ih_k_ah_s_t s_ah_n ah_v s_ae_m
q;64;bring it on bring it on bring it on;b_r_ih_ng ih_t aa_n b_r_ih_ng ih_t aa_n b_r_ih_ng ih_t aa_n
d;13;make you play hide and go seek with your demons;m_ey_k y_uw p_l_ey hh_ay_d ah_n_d g_ow s_iy_k w_ih_dh y_ao_r d_iy_m_ah_n_z
g;35;got me in a hassle nigga acting like he wanna wrestle;g_aa_t m_iy ih_n ah hh_ae_s_ah_l n_ih_g_ae ae_k_t_ih_ng l_ay_k hh_iy w_aa_n_ah r_eh_s_ah_l
b;54;when they guess the metaphors they be like ooh;w_eh_n dh_ey g_eh_s dh_ah m_eh_t_ah_f_ao_r_z dh_ey b_iy l_ay_k uw
c;6;the world ain-t safe theres no tomorrow;dh_iy w_er_l_d ey_n_t s_ey_f dh_eh_r_s n_ow t_ah_m_aa_r_ow
m;18;we make them reminisce over you Undergods;w_iy m_ey_k dh_eh_m r_eh_m_ah_n_ih_s ow_v_er y_uw 
b;4;don-t make your gun go click click boom;d_ow_n m_ey_k y_uh_r g_ah_n g_ow k_l_ih_k k_l_ih_k b_uw_m
e;40;ski mask face no trace rap sound like rape;s_k_iy m_ae_s_k f_ey_s n_ow t_r_ey_s r_ae_p s_aw_n_d l_ay_k r_ey_p
e;59;that make niggas put your face on the front page;dh_ae_t m_ey_k n_ih_g_ae_s p_uh_t y_ao_r f_ey_s aa_n dh_ah f_r_ah_n_t p_ey_jh
d;61;you motherfuckers you can-t compete;y_uw m_ao_th_eh_r_f_uw_k_k_ax_r_s y_uw k_ae_n_t k_ah_m_p_iy_t
e;21;youll be dead and me and Canibus will be in Jamaica;y_uw_l b_iy d_eh_d ah_n_d m_iy ah_n_d C_ah_n_iy_b_ax_s w_ah_l b_iy ih_n jh_ah_m_ey_k_ah
d;8;nigga this (is) Torsion Field- ;n_ih_g_ae dh_ih_s ih_z T_ao_r_s_iy_ax_n  f_iy_l_d_z
e;41;we gesticulate like apes on mixtapes;w_iy  l_ay_k ey_p_s aa_n m_ih_k_s_t_ey_p_s
o;43;this high fidelity fuck what they telling me;dh_ih_s hh_ay f_ih_d_eh_l_ih_t_ih f_ah_k w_ah_t dh_ey t_eh_l_ih_ng m_iy
c;24;come in like a big pussy don-t you where Im gon dump ya;k_ah_m ih_n l_ay_k ah b_ih_g p_uh_s_iy d_ow_n_t y_uw w_eh_r ay_m g_aa_n d_ah_m_p y_aa
e;25;expert flow Germaine broad head (four-hundred) grain;eh_k_s_p_er_t f_l_ow zh_er_m_ey_n b_r_ao_d hh_eh_d f_ao_r_hh_ah_n_d_r_ah_d g_r_ey_n
a;36;smack DVD gun battle;s_m_ae_k  g_ah_n b_ae_t_ah_l
a;33;nigga wanna spit we spat thats that;n_ih_g_ae w_aa_n_ah s_p_ih_t w_iy s_p_ae_t dh_ae_t_s dh_ae_t
h;44;no body address the beat like Canibus and Keith Murray;n_ow b_aa_d_iy ax_d_r_eh_s dh_ah b_iy_t l_ay_k C_ah_n_iy_b_ax_s ah_n_d k_iy_th m_er_iy
b;50;i got to say peace to my uncle Snoop;ay g_aa_t t_uw s_ey p_iy_s t_uw m_ay ah_ng_k_ah_l s_n_uw_p
i;3;keith Murray Canibus;k_iy_th m_er_iy C_ah_n_iy_b_ax_s
c;5;create a whole genre;k_r_iy_ey_t ey hh_ow_l zh_aa_n_r_ah
d;73;and them hardcore niggas that run the streets;ah_n_d dh_eh_m hh_aa_r_d_k_ao_r n_ih_g_ae_s dh_ae_t r_ah_n dh_ah s_t_r_iy_t_s
d;62;you know you don-t wanna go man for man power on the streets;y_uw n_ow y_uw d_ow_n_t w_aa_n_ah g_ow m_ae_n f_ao_r m_ae_n p_aw_er aa_n dh_ah s_t_r_iy_t_s
e;26;i was entertained I saw a hundred slain;ay w_ah_z eh_n_t_er_t_ey_n_d ay s_ao ah hh_ah_n_d_r_ah_d s_l_ey_n
