Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
f;22;don-t get (butt-hurt) I got the melodies for your disease;d_ow_n_t g_eh_t b_ah_t_hh_er_t ay g_aa_t dh_ah m_eh_l_ah_d_iy_z f_ao_r y_ao_r d_ih_z_iy_z
a;5;they be slaves to my rhyme book Im talking chains and braces;dh_ey b_iy s_l_ey_v_z t_uw m_ay r_ay_m b_uh_k ay_m t_ao_k_ih_ng ch_ey_n_z ah_n_d b_r_ey_s_ah_z
b;6;this game I embrace it I play no more;dh_ih_s g_ey_m ay ih_m_b_r_ey_s ih_t ay p_l_ey n_ow m_ao_r
h;4;im racist to mothafuckas who can-t rhyme;ay_m r_ey_s_ah_s_t t_uw m_ao_th_ah_f_uw_k_k_ax_s hh_uw k_ae_n_t r_ay_m
f;20;its XCEP the bad mothafucka with a the features;ih_t_s  dh_ah b_ae_d m_ao_th_ah_f_uw_k_k_ax w_ih_dh ah dh_ah f_iy_ch_er_z
i;11;i got em surrounded they be calling five o;ay g_aa_t eh_m s_er_aw_n_d_ah_d dh_ey b_iy k_ao_l_ih_ng f_ay_v ow
a;2;that ape shit Darwin back to our basis;dh_ae_t ey_p sh_iy_t d_aa_r_w_ih_n b_ae_k t_uw aw_r b_ey_s_ih_s
f;23;its the XTCs don-t ya mothafuck with the bees;ih_t_s dh_iy  d_ow_n_t y_aa m_ao_th_ah_f_uw_k_k w_ih_dh dh_ah b_iy_z
g;32;all-s Im saying its XCEP fuck what you infer;ao_l_z ay_m s_ey_ih_ng ih_t_s  f_ah_k w_ah_t y_uw ih_n_f_er
c;14;and I don-t give a shit cause I don-t need em they know;ah_n_d ay d_ow_n_t g_ih_v ah sh_iy_t k_aa_z ay d_ow_n n_iy_d eh_m dh_ey n_ow
b;8;im the one who made some mothafuckas say no more;ay_m dh_ah w_ah_n hh_uw m_ey_d s_ah_m m_ao_th_ah_f_uw_k_k_ax_s s_ey n_ow m_ao_r
f;28;my shit give all these other mothafuckas amnesia;m_ay sh_iy_t g_ih_v ao_l dh_iy_z ah_dh_er m_ao_th_ah_f_uw_k_k_ax_s ae_m_n_iy_zh_ah
a;1;im about to flow it like its 1990 on the date;ay_m ah_b_aw_t t_uw f_l_ow ih_t l_ay_k ih_t_s  aa_n dh_ah d_ey_t
f;21;preach The beats put your pain at ease;p_r_iy_ch dh_ah b_iy_t_s p_uh_t y_ao_r p_ey_n ae_t iy_z
m;25;bitch please switch the Ds;b_ih_ch p_l_iy_z s_w_ih_ch dh_ah 
c;10;suckas won-t ever forget now they got the photo;s_ah_k_ae_s w_ow_n_t eh_v_er f_ax_g_eh_t n_aw dh_ey g_aa_t dh_ah f_ow_t_ow
l;15;that Im a (self-made) nigga all I need (is) foes ya bitch;dh_ae_t ay_m ah s_eh_l_f_m_ey_d n_ih_g_ae ao_l ay n_iy_d ih_z f_ow_z y_aa b_ih_ch
a;3;ancient put the rhythm vintage on these phrases;ey_n_ch_ah_n_t p_uh_t dh_ah r_ih_dh_ah_m v_ih_n_t_ih_jh aa_n dh_iy_z f_r_ey_z_ah_z
d;26;come over here fuck with a real nigga who could really please ya;k_ah_m ow_v_er hh_ih_r f_ah_k w_ih_dh ah r_iy_l n_ih_g_ae hh_uw k_uh_d r_ih_l_iy p_l_iy_z y_aa
d;27;tease ya give you all the real shit that frees ya;t_iy_z y_aa g_ih_v y_uw ao_l dh_ah r_iy_l sh_iy_t dh_ae_t f_r_iy_z y_aa
d;12;i got em amazed they all be like bravo;ay g_aa_t eh_m ah_m_ey_z_d dh_ey ao_l b_iy l_ay_k b_r_aa_v_ow
e;17;and it never goes down who can do it better in town;ah_n_d ih_t n_eh_v_er g_ow_z d_aw_n hh_uw k_ah_n d_uw ah_t b_eh_t_er ih_n t_aw_n
f;19;its far from your reach who you tryna fool with your speeches;ih_t_s f_aa_r f_r_ah_m y_ao_r r_iy_ch hh_uw y_uw t_r_ih_n_ah f_uw_l w_ih_dh y_ao_r s_p_iy_ch_ah_z
a;0;this beat got the classic outta me youre about to witness grace;dh_ah_s b_iy_t g_aa_t dh_iy k_l_ae_s_ih_k uw_t_ah m_iy y_uw_r ah_b_aw_t t_uw w_ih_t_n_ah_s g_r_ey_s
f;24;whenever shit gets real you know were ready to squeeze;w_eh_n_eh_v_er sh_iy_t g_eh_t_s r_iy_l y_uw n_ow w_iy_r r_eh_d_iy t_uw s_k_w_iy_z
g;29;you heard now spread the word;y_uw hh_er_d n_aw s_p_r_eh_d dh_ah w_er_d
e;18;ima watch y-all bitches frown while y-all tryna snatch the crown;ih_m_ah w_aa_ch y_ao_l b_ih_ch_ah_z f_r_aw_n w_ay_l y_ao_l t_r_ih_n_ah s_n_ae_ch dh_ah k_r_aw_n
e;33;now break it down;n_aw b_r_ey_k ah_t d_aw_n
g;31;these other bitches so stupid tryna cuff a bird;dh_iy_z ah_dh_er b_ih_ch_ah_z s_ow s_t_uw_p_ah_d t_r_ih_n_ah k_ah_f ah b_er_d
b;7;you know that youre weak now face it don-t play no more;y_uw n_ow dh_ae_t y_uw_r w_iy_k n_aw f_ey_s ih_t d_ow_n_t p_l_ey n_ow m_ao_r
c;13;but they be talking behind my back alright I know;b_ah_t dh_ey b_iy t_ao_k_ih_ng b_ah_hh_ay_n_d m_ay b_ae_k ao_l_r_ay_t ay n_ow
g;30;these dumb mothafuckas absurd tryna fuck with a nerd;dh_iy_z d_ah_m m_ao_th_ah_f_uw_k_k_ax_s ah_b_s_er_d t_r_ih_n_ah f_ah_k w_ih_dh ah n_er_d
