Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
s;36;doctor Who to you fam hum aap;d_aa_k_t_er hh_uw t_uw y_uw f_ae_b_m hh_ah_m t_r_ih_p_ah_l_ey_p
i;47;on my dick its nothing;aa_n m_ay d_ih_k ih_t_s n_ah_th_ih_ng
q;31;but until then you put this fake dick on and hold this;b_ah_t ah_n_t_ih_l dh_eh_n y_uw p_uh_t dh_ih_s f_ey_k d_ih_k aa_n ah_n_d hh_ow_l_d dh_ah_s
m;1;jungle Book;jh_ah_ng_g_ah_l b_uh_k
h;30;just get a big hit and youre set to the sickest pawn;jh_ah_s_t g_eh_t ah b_ih_g hh_ih_t ah_n_d y_uw_r s_eh_t t_uw dh_ah s_ih_k_ah_s_t p_ao_n
i;34;just want my wallet pop up;jh_ah_s_t w_aa_n_t m_ay w_ao_l_ah_t p_aa_p ah_p
d;20;got the jungle fever like my name (is) Rambo;g_aa_t dh_ah jh_ah_ng_g_ah_l f_iy_v_er l_ay_k m_ay n_ey_m ih_z r_ae_m_b_ow
a;2;the brown mans burden;dh_iy b_r_aw_n m_ae_n_z b_er_d_ah_n
h;29;if anyone told me that Im ready for bigger pawn;ah_f eh_n_iy_w_ah_n t_ow_l_d m_iy dh_ae_t ay_m r_eh_d_iy f_ao_r b_ih_g_er p_ao_n
e;51;me and Rizzy Boy from across the pond;m_iy ah_n_d R_iy_z_ax b_oy f_r_ah_m ah_k_r_ao_s dh_ah p_aa_n_d
p;21;i be on kush like my name Ugambo;ay b_iy aa_n k_uh_sh l_ay_k m_ay n_ey_m U_g_a_m_b_oh
i;48;i know Im the shit they fronting;ay n_ow ay_m dh_ah sh_iy_t dh_ey f_r_ah_n_t_ih_ng
d;9;but no friskin just shit cancel;b_ah_t n_ow f_r_ih_s_k_ah_n jh_ah_s_t sh_iy_t k_ae_n_s_ah_l
t;44;for better or worse they know Hima;f_ao_r b_eh_t_er ao_r w_er_s dh_ey n_ow H_iy_m_ax
w;54;and she from Shilong;ah_n_d sh_iy f_r_ah_m S_hh_iy_l_ax_ng
l;55;her put her mouth on my shlong;hh_er p_uh_t hh_er m_aw_th aa_n m_ay sh_l_oh_ng
e;33;prounce it Riz-a wan if you want I don-t give it a bollock;p_r_aw_n_s ih_t R_ax_iy w_aa_n ah_f y_uw w_aa_n_t ay d_ow_n_t g_ih_v ih_t ah b_aa_l_l_aa_k
l;17;heems;hh_iy_er_m_s
e;15;treat her like in Karachi theme parks;t_r_iy_t hh_er l_ay_k ih_n_ch k_aa_r_aa_ch_iy th_iy_m p_aa_r_k_s
g;23;when Im in Bucharest bitties say you the best;w_eh_n ay_m ih_n b_y_uw_k_er_eh_s_t b_ih_t_iy_s s_ey y_uw dh_ah b_eh_s_t
o;19;hima loves kush like im;hh_ih_m_ae l_ah_v_z k_uh_sh l_ay_k ay_m
a;10;the heat so the hounds on fans-ll work;dh_iy hh_iy_t s_ow dh_iy hh_aw_n_d_z aa_n f_l_ae w_er_k
e;18;its conscious garbage constant nonsense;ih_t_s k_aa_n_sh_ah_s g_aa_r_b_ih_jh k_aa_n_s_t_ah_n_t n_aa_n_s_eh_n_s
b;14;teach the keester man-s beemer;t_iy_ch dh_ah  m_ae_n_z b_iy_m_er
e;35;i handle stress like its double yes im the don;ay hh_ae_n_d_ah_l s_t_r_eh_s l_ay_k ih_t_s d_ah_b_ah_l y_eh_s ay_m dh_ah d_aa_n
c;53;with a bad bitty;w_ih_dh ah b_ae_d b_ih_t_iy
u;52;bitches putting DMT in our oolang;b_ih_ch_ah_z p_ah_t_ih_ng  ih_n aw_r o_l_ae_ng
g;26;let me send a stupid text;l_eh_t m_iy s_eh_n_d ah s_t_uw_p_ah_d t_eh_k_s_t
r;32;what the fuck that they think the mans on;w_ah_t dh_ah f_ah_k dh_ae_t dh_ey th_ih_ng_k dh_iy m_ae_n_z aa_n
l;0;heems;hh_iy_er_m_s
b;40;who they riding shotty in Alecs Beemer;hh_uw dh_ey r_ay_d_ih_ng sh_aa_t_iy ih_n A_l_er_k_s b_iy_m_er
a;8;stoppped by the system random search;s_t_oh_p_p_ax_d b_ay dh_iy s_ih_s_t_ah_m r_ae_n_d_ah_m s_er_ch
b;3;teach these white people all this shit;t_iy_ch dh_iy_z hh_w_ay_t p_iy_p_ah_l ao_l dh_ah_s sh_iy_t
f;49;one king xiao long bao soup;w_ah_n k_ih_ng zh_aw l_ao_ng b_aw s_uw_p
f;22;indian man I be rhyming in Budapest;ih_n_d_iy_ah_n m_ae_n ay b_iy r_ay_m_ih_ng ih_n b_uw_d_ah_p_eh_s_t
e;42;zim Zima Simba it seem ya;z_ih_m z_iy_m_ah s_ih_m_b_ah ih_t s_iy_m y_aa
i;46;im stunting Im Jackie Shroff or something;ay_m s_t_ah_n_t_ih_ng ay_m jh_ae_k_iy sh_r_ao_f ao_r s_ah_m_th_ih_ng
h;56;she wants to sing songs on my ding dong;sh_iy w_aa_n_t_s t_uw s_ih_ng s_ao_ng_z aa_n m_ay d_ih_ng d_ao_ng
g;24;bitties say you da next vis a vis stupid mess;b_ih_t_iy_s s_ey y_uw d_ae n_eh_k_s_t v_ih_s ah v_ih_s s_t_uw_p_ah_d m_eh_s
b;43;need to get used to being a dreamer;n_iy_d t_uw g_eh_t y_uw_z_d t_uw b_iy_ih_ng ah d_r_iy_m_er
n;13;we cooking Qeema;w_iy k_uh_k_ih_ng 
a;7;wonder how to slap the words;w_ah_n_d_er hh_aw t_ah s_l_ae_p dh_iy w_er_d_z
l;39;heems;hh_iy_er_m_s
c;28;riz;r_ih_z
c;41;if they want beef I could cook the kima;ah_f dh_ey w_aa_n_t b_iy_f ay k_uh_d k_uh_k dh_ah k_ih_m_ae
b;45;number 1 schemer TSA screener;n_ah_m_b_er ah_ae s_k_iy_m_er  s_k_r_iy_n_er
i;50;dumplings;d_ah_m_p_l_ih_ng_z
e;37;kay hain kahn;k_ey hh_ey_n k_aa_n
h;57;with the white girl like Im King Kong;w_ih_dh dh_ah w_ay_t g_er_l l_ay_k ay_m k_ih_ng k_ao_ng
c;6;riz;r_ih_z
e;12;hey look at me brah;hh_ey l_uh_k ae_t m_iy b_r_aa_ae
e;11;riz and Hima double team brah;r_ih_z ah_n_d H_iy_m_ax d_ah_b_ah_l t_iy_m b_r_aa_ae
a;4;the brown mans burden;dh_iy b_r_aw_n m_ae_n_z b_er_d_ah_n
g;25;fuck me like they new to sex;f_ah_k m_iy l_ay_k dh_ey n_y_uw t_uw s_eh_k_s
