Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
a;29;he said that you and Jake got married;hh_iy s_eh_d dh_ae_t y_uw ah_n_d jh_ey_k g_aa_t m_eh_r_iy_d
e;33;oh but what can I do about it;ow b_ah_t w_ah_t k_ah_n ay d_uw ah_b_aw_t ih_t
a;21;to see if you had got some marriage;t_uw s_iy ah_f y_uw hh_ae_d g_aa_t s_ah_m m_eh_r_ih_jh
l;31;but you ain-t got no;b_ah_t y_uw ey_n_t g_aa_t n_ow
a;39;vanessa;v_ah_n_eh_s_ah
c;36;we were supposed to be united;w_iy w_er s_ah_p_ow_z_d t_uw b_iy y_uw_n_ay_t_ah_d
d;28;i was hanging out with Tommy;ay w_ah_z hh_ae_ng_ih_ng aw_t w_ih_dh t_aa_m_iy
a;14;vanessa;v_ah_n_eh_s_ah
d;15;under the stars;ah_n_d_er dh_ah s_t_aa_r_z
a;16;under the stars Vanessa;ah_n_d_er dh_ah s_t_aa_r_z v_ah_n_eh_s_ah
a;7;were meant to be together;w_iy_r m_eh_n_t t_uw b_iy t_ah_g_eh_dh_er
b;34;theres just one thing weve got to do;dh_eh_r_s jh_ah_s_t w_ah_n th_ih_ng w_iy_v g_aa_t t_uw d_uw
e;0;you was a pretty little girl;y_uw w_ah_z ey p_r_ih_t_iy l_ih_t_ah_l g_er_l
a;1;you was the girl Im suppoesed to marry;y_uw w_ah_z dh_iy g_er_l ay_m s_uw_p_ax_e_z_e_d t_uw m_eh_r_iy
g;30;he said youd moved to Kansas city;hh_iy s_eh_d y_uw_d m_uw_v_d t_uw k_ae_n_z_ah_s s_ih_t_iy
a;38;vanessa;v_ah_n_eh_s_ah
a;41;vanessa;v_ah_n_eh_s_ah
h;5;oh but what can I do about it;ow b_ah_t w_ah_t k_ah_n ay d_uw ah_b_aw_t ih_t
f;2;you know we met in Cincinatti;y_uw n_ow w_iy m_eh_t ih_n 
h;23;oh but what can I do about it;ow b_ah_t w_ah_t k_ah_n ay d_uw ah_b_aw_t ih_t
f;20;to see if you in Cincinatti;t_uw s_iy ah_f y_uw ih_n 
g;12;vanessa you really mean much to me;v_ah_n_eh_s_ah y_uw r_ih_l_iy m_iy_n m_ah_ch t_uw m_iy
a;40;vanessa;v_ah_n_eh_s_ah
b;24;theres just one thing that weve got to do;dh_eh_r_s jh_ah_s_t w_ah_n th_ih_ng dh_ae_t w_iy_v g_aa_t t_uw d_uw
a;35;weve got to be together;w_iy_v g_aa_t t_uw b_iy t_ah_g_eh_dh_er
i;18;i tried to find you on computer;ay t_r_ay_d t_uw f_ay_n_d y_uw aa_n k_ah_m_p_y_uw_t_er
a;19;i want to see if you was married;ay w_aa_n_t t_uw s_iy ah_f y_uw w_ah_z m_eh_r_iy_d
a;25;were meant to be together;w_iy_r m_eh_n_t t_uw b_iy t_ah_g_eh_dh_er
g;10;vanessa I think were naturally;v_ah_n_eh_s_ah ay th_ih_ng_k w_iy_r n_ae_ch_er_ah_l_iy
c;8;we were supposed to be united;w_iy w_er s_ah_p_ow_z_d t_uw b_iy y_uw_n_ay_t_ah_d
g;3;you was a fascinating lady;y_uw w_ah_z ah f_ae_s_ah_n_ey_t_ih_ng l_ey_d_iy
c;26;we were supposed to be united;w_iy w_er s_ah_p_ow_z_d t_uw b_iy y_uw_n_ay_t_ah_d
b;6;theres just one thing that weve got to do;dh_eh_r_s jh_ah_s_t w_ah_n th_ih_ng dh_ae_t w_iy_v g_aa_t t_uw d_uw
