Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
b;1;here we go again;hh_ih_r w_iy g_ow ah_g_eh_n
w;72;we are what we are;w_iy aa_r w_ah_t w_iy aa_r
h;35;so I can-t quit now;s_ow ay k_ae_n_t k_w_ih_t n_aw
a;12;i mean its good but how the hell did it happen;ay m_iy_n ih_t_s g_uh_d b_ah_t hh_aw dh_ah hh_eh_l d_ih_d ih_t hh_ae_p_ah_n
e;22;yeah me and Cody fight both always right;y_ae m_iy ah_n_d k_ow_d_iy f_ay_t b_ow_th ao_l_w_ey_z r_ay_t
s;31;and Jones told me Id make it;ah_n_d jh_ow_n_z t_ow_l_d m_iy ay_d m_ey_k ih_t
n;33;ooohthat was our last conversation;uw_dh_ae_t w_ah_z aw_r l_ae_s_t k_aa_n_v_er_s_ey_sh_ah_n
i;37;hold back sorrow and mend up hearts;hh_ow_l_d b_ae_k s_aa_r_ow ah_n_d m_eh_n_d ah_p hh_aa_r_t_s
p;10;2 good fish hey I wonder who the next (is);ah_ae g_uh_d f_ih_sh hh_ey ay w_ah_n_d_er hh_uw dh_iy n_eh_k_s_t ih_z
b;48;i Let the love and hate dispel;ay l_eh_t dh_ah l_ah_v ah_n_d hh_ey_t d_ih_s_p_eh_l
d;20;but were not friends were brothers;b_ah_t w_iy_r n_ax_t f_r_eh_n_d_z w_iy_r b_r_ah_dh_er_z
i;38;cause I could die tomorrow and I got leave my mark;k_aa_z ay k_uh_d d_ay t_ah_m_aa_r_ow ah_n_d ay g_aa_t l_iy_v m_ay m_aa_r_k
b;46;but done talking bout you so theres nobody else;b_ah_t d_ah_n t_ao_k_ih_ng b_aw_t y_uw s_ow dh_eh_r_s n_ow_b_aa_d_iy eh_l_s
a;2;pouring out my soul for people to clap their hands;p_ao_r_ih_ng aw_t m_ay s_ow_l f_ao_r p_iy_p_ah_l t_uw k_l_ae_p dh_eh_r hh_ae_n_d_z
m;3;here I stand I am what I am;hh_ih_r ay s_t_ae_n_d ay ae_m w_ah_t ay ae_m
