Rhyme Scheme Letter;Line Number;Lyrics;Phonetic Transcription
d;6;i only whanted to do things my way baby;ay ow_n_l_iy w_hh_ae_n_t_ax_d t_ah d_uw th_ih_ng_z m_ay w_ey b_ey_b_iy
h;26;here come take a ride babe and maybe tonight will be the night;hh_ih_r k_ah_m t_ey_k ah r_ay_d b_ey_b ah_n_d m_ey_b_iy t_ah_n_ay_t w_ah_l b_iy dh_ah n_ay_t
m;10;ooohhh I can-t belive She (is) (as) hot (as) this;o_oh_h_hh ay k_ae_n_t b_iy_l_ih_v sh_iy ah_z eh_z hh_aa_t eh_z dh_ah_s
h;34;what Would it be like if I had somtime with you tonight;w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f ay hh_ae_d s_aa_m_t_ay_m w_ih_dh y_uw t_ah_n_ay_t
i;33;what Would it be like if I had you be my side ohhh yeah;w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f ay hh_ae_d y_uw b_iy m_ay s_ay_d oh_h_hh y_ae
i;29;what Would it be like if I had you by my side yeah yeah;w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f ay hh_ae_d y_uw b_ay m_ay s_ay_d y_ae y_ae
c;4;you know I had my share;y_uw n_ow ay hh_ae_d m_ay sh_eh_r
f;25;chourse;ch_ao_uw_r_s_ax
d;7;b- ;b_iy_jh_ey_ae
n;19;honys got me Gon na tript cuz;hh_aa_n_iy_s g_aa_t m_iy G_oh_n n_aa t_r_ih_p_p k_ah_z
d;5;true player I did it again;t_r_uw p_l_ey_er ay d_ah_d ah_t ah_g_ey_n
m;18;i never felt like this;ay n_eh_v_er f_eh_l_t l_ay_k dh_ah_s
e;11;cuz I wonder if I guy would miss;k_ah_z ay w_ah_n_d_er ih_f ay g_ay w_uh_d m_ih_s
f;12;chourse;ch_ao_uw_r_s_ax
h;30;what Would it be like if I had somtime with you tonight;w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f ay hh_ae_d s_aa_m_t_ay_m w_ih_dh y_uw t_ah_n_ay_t
b;3;the where there just to plese me ooo;dh_iy hh_w_eh_r dh_eh_r jh_ah_s_t t_ah p_l_iy_z m_iy uw_ae
f;28;chourse;ch_ao_uw_r_s_ax
a;0;vers1;v_er_s_ah_ae
h;22;she wheres them skirt so ride;sh_iy w_eh_r_z dh_eh_m s_k_er_t s_ow r_ay_d
l;2;gurl are thought would to;g_uh_r_ah_l er th_ao_t w_uh_d t_ah
b;32;i would like to know ohh ooo;ay w_uh_d l_ay_k t_uw n_ow ow_ae uw_ae
c;27;the night where you and iwill be together;dh_ah n_ay_t w_eh_r y_uw ah_n_d iy_w_ax_l b_iy t_ah_g_eh_dh_er
g;15;and What would it be like if you was in the world If you was my babe gurl;ah_n_d w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f y_uw w_ah_z ih_n dh_ah w_er_l_d ah_f y_uw w_ah_z m_ay b_ey_b g_uh_r_ah_l
p;23;she spoted up tonight She making me so hot;sh_iy s_p_aa_t_er_d ah_p t_ah_n_ay_t sh_iy m_ey_k_ih_ng m_iy s_ow hh_aa_t
h;31;what would it be like Can it be right;w_ah_t w_uh_d ih_t b_iy l_ay_k k_ah_n ih_t b_iy r_ay_t
h;16;that someone lady What would it be like;dh_ae_t s_ah_m_w_ah_n l_ey_d_iy w_ah_t w_uh_d ah_t b_iy l_ay_k
o;20;im fellin like I need someone to be with you;ay_m f_eh_l_ih_n l_ay_k ay n_iy_d s_ah_m_w_ah_n t_uw b_iy w_ih_dh y_uw
d;24;b-;b_iy_jh_ey_ae
b;1;you know I had a few;y_uw n_ow ay hh_ae_d ey f_y_uw
h;21;she rides them pretty eyes;sh_iy r_ay_d_z dh_eh_m p_r_ih_t_iy ay_z
a;17;vers2;v_er_s_ah_ae
d;14;what Would it feel like if we there tonigh and kisst in the tank baby;w_ah_t w_uh_d ih_t f_iy_l l_ay_k ah_f w_iy dh_eh_r t_ao_n_iy_g_h ah_n_d k_ih_s_eh_st ih_n dh_ah t_ae_ng_k b_ey_b_iy
g;13;what Would it be like if I was with you gurl;hh_w_ah_t w_uh_d ih_t b_iy l_ay_k ah_f ay w_ah_z w_ih_dh y_uw g_uh_r_ah_l
e;8;ooohh I got to get a chance with this;uw_ae ay g_aa_t t_uw g_eh_t ah ch_ae_n_s w_ih_dh dh_ih_s
e;9;ohhh first I feel so I can get with this;oh_h_hh f_er_s_t ay f_iy_l s_ow ay k_ah_n g_eh_t w_ih_dh dh_ih_s
